16	40:b8:37:57:6c:5d	Sony Mobile Communications AB	b''
16	d4:61:2e:df:35:3d	HUAWEI TECHNOLOGIES CO.,LTD	b''
16	d4:61:2e:df:35:3d	HUAWEI TECHNOLOGIES CO.,LTD	b''
16	38:80:df:4c:13:0c	UNKNOWN	b'familia vargas'
16	38:80:df:4c:13:0c	UNKNOWN	b''
16	38:80:df:4c:13:0c	UNKNOWN	b'familia vargas'
16	38:80:df:4c:13:0c	UNKNOWN	b''
16	0a:7c:70:67:0b:51	UNKNOWN	b''
17	10:7b:44:29:13:6e	UNKNOWN	b''
17	7e:fd:4c:7f:9d:66	UNKNOWN	b''
17	26:62:af:cf:a8:ae	UNKNOWN	b''
18	26:62:af:cf:a8:ae	UNKNOWN	b''
18	9a:7a:61:0c:9f:68	UNKNOWN	b''
19	da:a1:19:be:02:ed	UNKNOWN	b''
19	da:a1:19:dc:39:84	UNKNOWN	b''
19	d0:fc:cc:79:ee:eb	Samsung Electronics Co.,Ltd	b''
19	f8:84:f2:11:66:e8	Samsung Electronics Co.,Ltd	b''
20	f8:a9:d0:2c:ff:1d	LG Electronics (Mobile Communications)	b''
20	da:a1:19:f0:97:4e	UNKNOWN	b''
20	1e:a9:a2:37:d7:e7	UNKNOWN	b''
21	fc:3f:7c:98:a2:1d	HUAWEI TECHNOLOGIES CO.,LTD	b''
21	42:7f:39:99:4f:81	UNKNOWN	b''
22	48:60:bc:b6:c8:2d	Apple, Inc.	b'Duques '
22	48:60:bc:b6:c8:2d	Apple, Inc.	b'FAMILIAMOJICA'
22	48:60:bc:b6:c8:2d	Apple, Inc.	b'iShop2016Col'
22	d8:5b:2a:78:d0:4d	Samsung Electronics Co.,Ltd	b''
23	88:79:7e:99:9a:da	Motorola Mobility LLC, a Lenovo Company	b''
23	88:79:7e:99:9a:da	Motorola Mobility LLC, a Lenovo Company	b''
23	f6:10:29:82:bb:c4	UNKNOWN	b''
24	cc:61:e5:8d:de:02	Motorola Mobility LLC, a Lenovo Company	b''
24	cc:61:e5:8d:de:02	Motorola Mobility LLC, a Lenovo Company	b''
24	cc:61:e5:8d:de:02	Motorola Mobility LLC, a Lenovo Company	b''
24	d0:31:69:48:74:70	UNKNOWN	b''
24	a0:10:81:6f:30:4c	Samsung Electronics Co.,Ltd	b''
24	1c:56:fe:ed:94:a0	Motorola Mobility LLC, a Lenovo Company	b'une_1E79(WPA2)'
24	a0:10:81:6f:30:4c	Samsung Electronics Co.,Ltd	b''
24	9e:23:8c:5c:7e:9e	UNKNOWN	b''
24	9e:23:8c:5c:7e:9e	UNKNOWN	b''
24	48:c7:96:28:35:57	UNKNOWN	b''
24	48:c7:96:28:35:57	UNKNOWN	b''
24	48:c7:96:28:35:57	UNKNOWN	b''
24	56:03:0c:e3:6c:16	UNKNOWN	b''
24	56:03:0c:e3:6c:16	UNKNOWN	b''
25	02:cc:7f:68:90:ed	UNKNOWN	b''
25	02:cc:7f:68:90:ed	UNKNOWN	b''
25	1a:2c:cc:d1:93:8e	UNKNOWN	b''
25	1a:2c:cc:d1:93:8e	UNKNOWN	b''
25	a6:de:9c:8b:25:e0	UNKNOWN	b''
