dep_station,dep_time
heroes,4355
heroes,4355
heroes,4355
heroes,4356
heroes,4356
heroes,4357
heroes,4357
heroes,4359
heroes,4359
heroes,4360
heroes,4360
heroes,4361
heroes,4361
heroes,4362
heroes,4362
heroes,4363
heroes,4363
heroes,4363
heroes,4365
heroes,4365
heroes,4365
heroes,4365
heroes,4366
heroes,4366
heroes,4367
heroes,4368
heroes,4370
heroes,4371
heroes,4371
heroes,4373
heroes,4373
heroes,4374
heroes,4374
heroes,4375
heroes,4375
heroes,4375
heroes,4375
heroes,4375
heroes,4376
heroes,4376
heroes,4376
heroes,4376
heroes,4376
heroes,4376
heroes,4376
heroes,4376
heroes,4377
heroes,4377
heroes,4378
heroes,4378
heroes,4379
heroes,4379
heroes,4380
heroes,4380
heroes,4382
heroes,4382
heroes,4382
heroes,4384
heroes,4384
heroes,4387
heroes,4387
heroes,4388
heroes,4388
heroes,4389
heroes,4390
heroes,4390
heroes,4390
heroes,4391
heroes,4394
heroes,4394
heroes,4396
heroes,4403
heroes,4403
heroes,4403
heroes,4409
heroes,4419
heroes,4446
heroes,4476
heroes,4489
heroes,4503
heroes,4516
heroes,4530
heroes,4545
heroes,4590
heroes,4622
heroes,4656
heroes,4672
heroes,4676
heroes,4694
heroes,4697
heroes,4702
heroes,4710
heroes,4743
heroes,4760
heroes,4774
heroes,4776
heroes,4796
heroes,4830
heroes,4853
heroes,4854
heroes,4856
heroes,4873
heroes,4876
heroes,4879
heroes,4888
heroes,4897
heroes,4898
heroes,4916
heroes,4965
heroes,4976
heroes,4981
heroes,4987
heroes,5036
heroes,5097
heroes,5107
heroes,5108
heroes,5118
heroes,5119
heroes,5126
heroes,5131
heroes,5131
heroes,5138
heroes,5138
heroes,5143
heroes,5154
heroes,5160
heroes,5160
heroes,5173
heroes,5183
heroes,5186
heroes,5198
heroes,5199
heroes,5200
heroes,5201
heroes,5201
heroes,5201
heroes,5201
heroes,5202
heroes,5202
heroes,5202
heroes,5204
heroes,5207
heroes,5208
heroes,5209
heroes,5210
heroes,5210
heroes,5210
heroes,5210
heroes,5212
heroes,5212
heroes,5212
heroes,5213
heroes,5213
heroes,5213
heroes,5214
heroes,5214
heroes,5215
heroes,5216
heroes,5216
heroes,5217
heroes,5217
heroes,5217
heroes,5218
heroes,5218
heroes,5219
heroes,5219
heroes,5219
heroes,5219
heroes,5220
heroes,5220
heroes,5221
heroes,5221
heroes,5221
heroes,5222
heroes,5222
heroes,5224
heroes,5224
heroes,5224
heroes,5224
heroes,5225
heroes,5225
heroes,5225
heroes,5225
heroes,5225
heroes,5225
heroes,5227
heroes,5229
heroes,5233
heroes,5233
heroes,5234
heroes,5234
heroes,5234
heroes,5234
heroes,5234
heroes,5236
heroes,5237
heroes,5238
heroes,5238
heroes,5239
heroes,5240
heroes,5241
heroes,5242
heroes,5243
heroes,5245
heroes,5246
heroes,5248
heroes,5248
heroes,5249
heroes,5249
heroes,5249
heroes,5250
heroes,5250
heroes,5250
heroes,5250
heroes,5251
heroes,5251
heroes,5251
heroes,5251
heroes,5252
heroes,5254
heroes,5255
heroes,5256
heroes,5258
heroes,5259
heroes,5259
heroes,5259
heroes,5262
heroes,5262
heroes,5265
heroes,5265
heroes,5267
heroes,5267
heroes,5268
heroes,5269
heroes,5270
heroes,5270
heroes,5271
heroes,5272
heroes,5273
heroes,5274
heroes,5275
heroes,5275
heroes,5278
heroes,5278
heroes,5279
heroes,5282
heroes,5283
heroes,5284
heroes,5287
heroes,5290
heroes,5290
heroes,5291
heroes,5293
heroes,5293
heroes,5295
heroes,5296
heroes,5296
heroes,5296
heroes,5298
heroes,5299
heroes,5300
heroes,5302
heroes,5306
heroes,5308
heroes,5309
heroes,5309
heroes,5313
heroes,5318
heroes,5322
heroes,5323
heroes,5325
heroes,5325
heroes,5326
heroes,5333
heroes,5333
heroes,5334
heroes,5335
heroes,5337
heroes,5338
heroes,5339
heroes,5340
heroes,5343
heroes,5343
heroes,5344
heroes,5344
heroes,5344
heroes,5345
heroes,5345
heroes,5345
heroes,5345
heroes,5346
heroes,5347
heroes,5347
heroes,5348
heroes,5348
heroes,5348
heroes,5349
heroes,5349
heroes,5349
heroes,5350
heroes,5352
heroes,5352
heroes,5352
heroes,5353
heroes,5353
heroes,5354
heroes,5355
heroes,5355
heroes,5355
heroes,5356
heroes,5356
heroes,5357
heroes,5358
heroes,5359
heroes,5360
heroes,5361
heroes,5361
heroes,5362
heroes,5362
heroes,5363
heroes,5364
heroes,5364
