mac,dep_station,dep_time,time,dep_time_group
mac,dep_station,dep_time,time,NaN
d0:77:14:2b:ac:63,heroes,6073,238,6000
e0:aa:96:2a:b6:3c,heroes,6081,199,6000
38:80:df:1d:21:cd,heroes,6139,255,6000
fc:42:03:e1:1d:a6,heroes,6153,638,6000
da:a1:19:59:1e:d2,heroes,6197,956,6000
f4:f5:24:ff:88:f9,heroes,6211,576,6000
ac:37:43:03:e4:c0,heroes,6239,1066,6000
3c:fa:43:3c:ae:92,heroes,6277,1037,6000
7c:46:85:ef:c8:b2,heroes,6597,215,6300
24:da:9b:f7:a9:d0,heroes,6614,390,6600
3c:bb:fd:2d:59:a8,heroes,6614,359,6600
00:ee:bd:9e:fd:79,heroes,6651,242,6600
40:3f:8c:1a:b3:15,heroes,6678,362,6600
cc:9f:7a:aa:4b:79,heroes,6698,179,6600
44:80:eb:12:a5:d3,heroes,6699,290,6600
34:fc:ef:ec:b0:c3,heroes,6700,303,6600
d0:ff:98:a2:cd:f9,heroes,6776,512,6600
dc:0b:34:de:4d:fd,heroes,6859,431,6600
f0:43:47:50:bc:20,heroes,6863,283,6600
f4:cb:52:ac:fe:d9,heroes,6874,308,6600
a0:32:99:c7:16:02,heroes,6879,408,6600
54:27:58:94:04:fd,heroes,6932,372,6900
40:b8:37:48:68:d2,heroes,6947,352,6900
ec:88:92:b4:39:92,heroes,6991,104,6900
88:d7:f6:b2:f4:9c,heroes,6994,329,6900
a8:b8:6e:2d:ee:35,heroes,7003,319,6900
c8:d7:b0:12:cc:a3,heroes,7524,328,7500
4c:4e:03:14:0d:4e,heroes,7656,226,7500
44:78:3e:6a:b2:36,heroes,7658,797,7500
da:a1:19:1e:86:3a,heroes,7874,1183,7800
d0:fc:cc:a5:a4:e5,heroes,7876,693,7800
38:80:df:8c:bd:d0,heroes,7922,594,7800
60:1d:91:d1:89:af,heroes,8059,443,7800
b4:74:43:fa:ce:43,heroes,8062,415,7800
e0:c9:7a:66:05:11,heroes,8078,438,7800
bc:ff:eb:bc:a9:2d,heroes,8354,219,8100
24:da:9b:79:0f:77,heroes,8418,644,8400
2c:4d:54:78:eb:5c,heroes,8539,955,8400
7c:2e:dd:7e:62:4c,heroes,8556,552,8400
a8:a1:98:15:75:dd,heroes,8765,278,8700
38:80:df:86:2e:cb,heroes,8767,258,8700
98:dd:ea:04:6a:e8,heroes,8782,237,8700
a8:a6:68:dc:ed:51,heroes,8820,770,8700
40:45:da:e4:1c:ec,heroes,8822,294,8700
14:9f:3c:09:4d:67,heroes,8830,274,8700
d0:04:01:41:32:d2,heroes,8913,361,8700
f4:cb:52:3a:e4:38,heroes,8915,683,8700
b8:1d:aa:b7:af:3e,heroes,8921,266,8700
da:a1:19:f0:6d:32,heroes,8925,144,8700
2c:59:8a:26:9a:41,heroes,8992,243,8700
14:30:c6:70:6f:e9,heroes,8998,239,8700
80:58:f8:66:f3:6e,heroes,9002,597,9000
da:a1:19:07:4b:36,heroes,9010,333,9000
cc:07:e4:97:0d:ed,heroes,9035,339,9000
80:58:f8:ff:93:68,heroes,9048,1397,9000
ec:10:7b:52:51:8b,heroes,9166,252,9000
d0:04:01:09:e8:d6,heroes,9199,376,9000
bc:25:e0:91:ac:97,heroes,9200,367,9000
f4:f5:24:fe:68:59,heroes,9203,392,9000
a8:96:75:fc:79:84,heroes,9209,378,9000
48:60:5f:23:da:21,heroes,9209,364,9000
d4:63:c6:e2:b8:57,heroes,9210,379,9000
54:fc:f0:29:df:0b,heroes,9226,353,9000
80:58:f8:51:e4:20,heroes,9272,86,9000
38:80:df:88:58:1f,heroes,10265,471,10200
58:c9:35:35:02:e3,heroes,10346,622,10200
b8:08:d7:2b:52:ba,heroes,10407,390,10200
84:98:66:00:ea:1d,heroes,10614,182,10500
20:55:31:c5:ad:1b,heroes,10666,340,10500
a8:81:95:ab:7e:12,heroes,10720,372,10500
da:a1:19:e5:4d:38,heroes,10919,541,10800
50:c8:e5:99:61:d5,heroes,10923,307,10800
2c:56:dc:1f:de:04,heroes,10927,280,10800
fc:3f:7c:d0:69:4d,heroes,10928,302,10800
90:94:97:56:7b:7a,heroes,10930,295,10800
00:87:01:7b:ce:4f,heroes,10965,495,10800
38:80:df:91:aa:04,heroes,11002,184,10800
d0:04:01:0b:2a:42,heroes,11011,192,10800
d0:87:e2:c5:2b:15,heroes,11076,1333,10800
d0:13:fd:27:29:12,heroes,11187,659,11100
dc:cf:96:20:3f:65,heroes,11242,175,11100
80:6c:1b:21:53:98,heroes,11290,323,11100
