dep_station,dep_time
calle100,3981
calle100,3981
calle100,3981
calle100,3981
calle100,3981
calle100,3981
calle100,3982
calle100,3982
calle100,3982
calle100,3982
calle100,3983
calle100,3983
calle100,3984
calle100,3985
calle100,3985
calle100,3985
calle100,3985
calle100,3986
calle100,3986
calle100,3987
calle100,3987
calle100,3987
calle100,3987
calle100,3987
calle100,3987
calle100,3987
calle100,3989
calle100,3989
calle100,3989
calle100,3989
calle100,3990
calle100,3990
calle100,3990
calle100,3991
calle100,3991
calle100,3991
calle100,3991
calle100,3991
calle100,3992
calle100,3993
calle100,3993
calle100,3993
calle100,3994
calle100,3994
calle100,3994
calle100,3994
calle100,3994
calle100,3994
calle100,3994
calle100,3994
calle100,3995
calle100,3995
calle100,3995
calle100,3995
calle100,3995
calle100,3995
calle100,3995
calle100,3995
calle100,3996
calle100,3996
calle100,3996
calle100,3996
calle100,3996
calle100,3997
calle100,3997
calle100,3998
calle100,3999
calle100,3999
calle100,4001
calle100,4001
calle100,4001
calle100,4001
calle100,4002
calle100,4002
calle100,4002
calle100,4002
calle100,4003
calle100,4003
calle100,4003
calle100,4003
calle100,4004
calle100,4004
calle100,4004
calle100,4004
calle100,4004
calle100,4005
calle100,4005
calle100,4005
calle100,4005
calle100,4006
calle100,4007
calle100,4007
calle100,4007
calle100,4007
calle100,4007
calle100,4008
calle100,4009
calle100,4009
calle100,4009
calle100,4009
calle100,4010
calle100,4010
calle100,4010
calle100,4011
calle100,4011
calle100,4011
calle100,4012
calle100,4012
calle100,4012
calle100,4012
calle100,4012
calle100,4012
calle100,4013
calle100,4013
calle100,4013
calle100,4014
calle100,4014
calle100,4015
calle100,4015
calle100,4015
calle100,4015
calle100,4015
calle100,4016
calle100,4016
calle100,4016
calle100,4016
calle100,4017
calle100,4017
calle100,4017
calle100,4018
calle100,4018
calle100,4018
calle100,4018
calle100,4019
calle100,4019
calle100,4019
calle100,4019
calle100,4020
calle100,4020
calle100,4020
calle100,4021
calle100,4021
calle100,4022
calle100,4022
calle100,4022
calle100,4022
calle100,4022
calle100,4023
calle100,4023
calle100,4023
calle100,4024
calle100,4024
calle100,4025
calle100,4025
calle100,4025
calle100,4026
calle100,4026
calle100,4026
calle100,4027
calle100,4027
calle100,4027
calle100,4028
calle100,4028
calle100,4029
calle100,4029
calle100,4029
calle100,4029
calle100,4029
calle100,4030
calle100,4030
calle100,4030
calle100,4030
calle100,4030
calle100,4030
calle100,4030
calle100,4030
calle100,4030
