1537194163	82:5d:f6:b3:1d:7f	UNKNOWN	b''	-256	2018-09-17 09:22:43.606928
1537194163	46:01:88:22:71:38	UNKNOWN	b''	-256	2018-09-17 09:22:43.616313
1537194163	4e:eb:89:e5:6a:2a	UNKNOWN	b''	-256	2018-09-17 09:22:43.619618
1537194163	4e:eb:89:e5:6a:2a	UNKNOWN	b''	-256	2018-09-17 09:22:43.633398
1537194163	d2:02:57:e0:56:91	UNKNOWN	b''	-256	2018-09-17 09:22:43.841061
1537194163	d2:02:57:e0:56:91	UNKNOWN	b''	-256	2018-09-17 09:22:43.860968
1537194163	7a:02:5b:21:d7:e4	UNKNOWN	b''	-256	2018-09-17 09:22:43.894858
1537194163	0e:61:19:4a:3c:0c	UNKNOWN	b''	-256	2018-09-17 09:22:43.902925
1537194163	da:a1:19:be:da:3b	UNKNOWN	b''	-256	2018-09-17 09:22:43.984221
1537194163	da:a1:19:be:da:3b	UNKNOWN	b''	-256	2018-09-17 09:22:43.998678
1537194164	da:a1:19:be:da:3b	UNKNOWN	b''	-256	2018-09-17 09:22:44.008360
1537194164	da:a1:19:be:da:3b	UNKNOWN	b''	-256	2018-09-17 09:22:44.017369
1537194164	66:c8:c5:5f:fa:85	UNKNOWN	b''	-256	2018-09-17 09:22:44.026215
1537194164	da:a1:19:be:da:3b	UNKNOWN	b''	-256	2018-09-17 09:22:44.034656
1537194164	66:c8:c5:5f:fa:85	UNKNOWN	b''	-256	2018-09-17 09:22:44.041264
1537194164	da:a1:19:be:da:3b	UNKNOWN	b''	-256	2018-09-17 09:22:44.063883
1537194164	c2:ae:ef:79:08:d3	UNKNOWN	b''	-256	2018-09-17 09:22:44.082218
1537194164	c2:ae:ef:79:08:d3	UNKNOWN	b''	-256	2018-09-17 09:22:44.137268
1537194164	12:8e:af:53:56:70	UNKNOWN	b''	-256	2018-09-17 09:22:44.383225
1537194164	12:8e:af:53:56:70	UNKNOWN	b''	-256	2018-09-17 09:22:44.406520
1537194164	12:8e:af:53:56:70	UNKNOWN	b''	-256	2018-09-17 09:22:44.423650
1537194164	12:8e:af:53:56:70	UNKNOWN	b''	-256	2018-09-17 09:22:44.447145
1537194165	6a:b6:e0:27:6c:1e	UNKNOWN	b''	-256	2018-09-17 09:22:45.050413
1537194165	6a:b6:e0:27:6c:1e	UNKNOWN	b''	-256	2018-09-17 09:22:45.103212
1537194165	42:10:be:17:15:d9	UNKNOWN	b''	-256	2018-09-17 09:22:45.254463
1537194165	42:10:be:17:15:d9	UNKNOWN	b''	-256	2018-09-17 09:22:45.275114
1537194165	42:10:be:17:15:d9	UNKNOWN	b''	-256	2018-09-17 09:22:45.317683
1537194165	c2:10:c1:ea:e6:f2	UNKNOWN	b''	-256	2018-09-17 09:22:45.422777
1537194165	c2:10:c1:ea:e6:f2	UNKNOWN	b''	-256	2018-09-17 09:22:45.445584
1537194165	c2:10:c1:ea:e6:f2	UNKNOWN	b''	-256	2018-09-17 09:22:45.469893
1537194165	c2:10:c1:ea:e6:f2	UNKNOWN	b''	-256	2018-09-17 09:22:45.490190
1537194165	b2:79:a1:70:60:3d	UNKNOWN	b''	-256	2018-09-17 09:22:45.503449
1537194165	ea:d6:ca:07:d1:d5	UNKNOWN	b''	-256	2018-09-17 09:22:45.544705
1537194165	a4:07:b6:2f:fd:02	UNKNOWN	b''	-256	2018-09-17 09:22:45.585148
1537194165	a4:07:b6:2f:fd:02	UNKNOWN	b''	-256	2018-09-17 09:22:45.656577
1537194165	86:2b:ce:e2:b0:99	UNKNOWN	b''	-256	2018-09-17 09:22:45.672673
1537194165	86:2b:ce:e2:b0:99	UNKNOWN	b''	-256	2018-09-17 09:22:45.680153
1537194165	a4:07:b6:2f:fd:02	UNKNOWN	b''	-256	2018-09-17 09:22:45.736841
1537194165	a4:07:b6:2f:fd:02	UNKNOWN	b''	-256	2018-09-17 09:22:45.772494
1537194165	ca:e9:f4:e6:f2:e1	UNKNOWN	b''	-256	2018-09-17 09:22:45.808330
1537194166	42:61:c5:3a:76:77	UNKNOWN	b''	-256	2018-09-17 09:22:46.431493
1537194166	76:8d:f7:89:d9:95	UNKNOWN	b''	-256	2018-09-17 09:22:46.772472
1537194166	26:fb:89:1f:ea:6f	UNKNOWN	b''	-256	2018-09-17 09:22:46.880599
1537194166	26:fb:89:1f:ea:6f	UNKNOWN	b''	-256	2018-09-17 09:22:46.900179
1537194167	d6:8c:02:aa:dd:c2	UNKNOWN	b''	-256	2018-09-17 09:22:47.005270
1537194167	86:c0:fb:57:b3:db	UNKNOWN	b''	-256	2018-09-17 09:22:47.700281
1537194167	86:c0:fb:57:b3:db	UNKNOWN	b''	-256	2018-09-17 09:22:47.717073
1537194167	da:a1:19:b2:5e:1f	UNKNOWN	b''	-256	2018-09-17 09:22:47.937384
1537194167	da:a1:19:b2:5e:1f	UNKNOWN	b''	-256	2018-09-17 09:22:47.954133
1537194167	da:a1:19:b2:5e:1f	UNKNOWN	b''	-256	2018-09-17 09:22:47.961631
1537194167	da:a1:19:b2:5e:1f	UNKNOWN	b''	-256	2018-09-17 09:22:47.970845
1537194167	da:a1:19:b2:5e:1f	UNKNOWN	b''	-256	2018-09-17 09:22:47.990989
1537194167	da:a1:19:b2:5e:1f	UNKNOWN	b''	-256	2018-09-17 09:22:47.993580
1537194168	da:a1:19:b2:5e:1f	UNKNOWN	b''	-256	2018-09-17 09:22:48.003382
1537194168	ae:8d:10:41:38:32	UNKNOWN	b''	-256	2018-09-17 09:22:48.020702
1537194168	da:a1:19:b2:5e:1f	UNKNOWN	b''	-256	2018-09-17 09:22:48.032278
1537194168	ae:8d:10:41:38:32	UNKNOWN	b''	-256	2018-09-17 09:22:48.035453
1537194168	1a:86:7b:59:13:3b	UNKNOWN	b''	-256	2018-09-17 09:22:48.231990
1537194168	1a:86:7b:59:13:3b	UNKNOWN	b''	-256	2018-09-17 09:22:48.251163
1537194168	56:17:db:d1:41:e7	UNKNOWN	b''	-256	2018-09-17 09:22:48.432246
1537194168	56:17:db:d1:41:e7	UNKNOWN	b''	-256	2018-09-17 09:22:48.453328
1537194169	72:89:32:a2:0c:88	UNKNOWN	b''	-256	2018-09-17 09:22:49.267529
1537194169	ae:13:0e:a3:e4:1d	UNKNOWN	b''	-256	2018-09-17 09:22:49.282675
1537194169	72:89:32:a2:0c:88	UNKNOWN	b''	-256	2018-09-17 09:22:49.286436
1537194169	ae:13:0e:a3:e4:1d	UNKNOWN	b''	-256	2018-09-17 09:22:49.301925
1537194169	ae:13:0e:a3:e4:1d	UNKNOWN	b''	-256	2018-09-17 09:22:49.323265
1537194169	16:8d:7f:e2:58:6f	UNKNOWN	b''	-256	2018-09-17 09:22:49.339619
