Timestamp,DeviceID,ReceiverID,RSSI,Event
03:26:28.291,d0034be7f942,001bc5094bf79c86,168,disappearance
03:44:32.973,1c1ac0ac354a,001bc5094bf79c86,190,appearance
03:44:33.037,78bdbcd66f74,001bc5094bf79c86,167,appearance
03:44:33.051,f877b8106fc3,001bc5094bf79c86,167,appearance
03:44:34.220,1c1ac0913c30,001bc5094bf79c86,165,appearance
03:44:33.214,616d5166dfb9,001bc5094bf79c86,172,appearance
03:44:33.315,1c1ac0871034,001bc5094bf79c86,167,appearance
03:44:33.560,17a4c80093a0,001bc5094bf79c86,161,appearance
03:44:33.570,d0034be7f942,001bc5094bf79c86,165,appearance
03:44:33.640,b03495406193,001bc5094bf79c86,171,appearance
03:44:33.799,76ee02eb207e,001bc5094bf79c86,162,appearance
03:44:33.921,d0034b3436f5,001bc5094bf79c86,162,appearance
03:44:34.463,2bb9afabd3d9,001bc5094bf79c86,162,appearance
03:44:34.479,793a242c34c5,001bc5094bf79c86,160,appearance
03:44:34.938,2c41a1241403,001bc5094bf79c86,155,appearance
03:44:38.649,616d5166dfb9,001bc5094bf79c86,163,keep-alive
03:44:38.441,1c1ac0871034,001bc5094bf79c86,182,keep-alive
03:44:39.606,17a4c80093a0,001bc5094bf79c86,160,keep-alive
03:44:38.597,400cedeb051b,001bc5094bf79c86,173,appearance
03:44:38.585,b03495406193,001bc5094bf79c86,163,keep-alive
03:44:38.892,f877b8a16aa1,001bc5094bf79c86,163,appearance
03:44:38.672,d0034b3436f5,001bc5094bf79c86,162,keep-alive
03:44:39.206,1c1ac0ac354a,001bc5094bf79c86,180,keep-alive
03:44:38.760,78bdbcd66f74,001bc5094bf79c86,171,keep-alive
03:44:40.043,f877b8106fc3,001bc5094bf79c86,166,keep-alive
03:44:39.150,1c1ac0913c30,001bc5094bf79c86,169,keep-alive
03:44:40.502,2bb9afabd3d9,001bc5094bf79c86,165,keep-alive
03:44:34.479,793a242c34c5,001bc5094bf79c86,160,keep-alive
03:44:39.427,d0034be7f942,001bc5094bf79c86,168,keep-alive
03:44:39.515,76ee02eb207e,001bc5094bf79c86,162,keep-alive
03:44:37.127,2c41a1241403,001bc5094bf79c86,169,keep-alive
03:44:42.357,74383ab8e119,001bc5094bf79c86,168,appearance
03:44:43.183,793a242c34c5,001bc5094bf79c86,152,disappearance
03:44:43.271,616d5166dfb9,001bc5094bf79c86,164,keep-alive
03:44:43.755,1c1ac0871034,001bc5094bf79c86,174,keep-alive
03:44:44.013,17a4c80093a0,001bc5094bf79c86,164,keep-alive
03:44:44.285,400cedeb051b,001bc5094bf79c86,172,keep-alive
03:44:44.443,b03495406193,001bc5094bf79c86,163,keep-alive
03:44:41.923,f877b8a16aa1,001bc5094bf79c86,158,keep-alive
03:44:42.150,d0034b3436f5,001bc5094bf79c86,159,keep-alive
03:44:44.151,1c1ac0ac354a,001bc5094bf79c86,184,keep-alive
03:44:44.946,78bdbcd66f74,001bc5094bf79c86,164,keep-alive
03:44:44.092,f877b8106fc3,001bc5094bf79c86,165,keep-alive
03:44:44.633,1c1ac0913c30,001bc5094bf79c86,169,keep-alive
